City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
261,Skowhegan,44.7651,-69.7192,-4.69,95,84,0.59,US,2024-01-03,09:05:58
262,Kushiro,42.975,144.3747,-3.26,80,100,2.52,JP,2024-01-03,09:05:58
263,Covilha,40.286,-7.504,13.09,96,100,1.79,PT,2024-01-03,09:05:59
264,San Salvador De Jujuy,-24.1946,-65.2971,18.46,93,93,1.11,AR,2024-01-03,09:03:04
265,Ust-Nera,64.5667,143.2,-39.53,98,90,2.16,RU,2024-01-03,09:05:59
266,Slavkov U Brna,49.1533,16.8765,9.84,90,0,1.54,CZ,2024-01-03,09:06:00
267,Kasempa,-13.4584,25.8338,24.98,68,69,1.88,ZM,2024-01-03,09:06:00
268,Cidreira,-30.1811,-50.2056,21.92,89,47,6.65,BR,2024-01-03,09:06:01
269,Chui,-33.6971,-53.4616,19.74,83,92,5.02,UY,2024-01-03,09:06:01
270,Zheleznodorozhnyy,55.7503,38.0042,-20.36,88,73,4.02,RU,2024-01-03,09:02:29
271,Lubang,13.8584,120.124,27.66,77,64,2.47,PH,2024-01-03,09:06:02
272,Uyuni,-20.4597,-66.825,11.72,61,48,2.74,BO,2024-01-03,09:06:02
273,Visby,57.6409,18.296,-4.42,74,75,12.86,SE,2024-01-03,09:06:03
274,Hrubieszow,50.805,23.8925,4.04,96,100,3.91,PL,2024-01-03,09:06:03
275,Arkhangel'Sk,64.5401,40.5433,-24.94,77,100,1.0,RU,2024-01-03,09:06:04
276,Vilyuysk,63.7553,121.6247,-32.93,100,100,1.13,RU,2024-01-03,09:06:04
277,Enewetak,11.3474,162.3373,27.37,75,100,8.39,MH,2024-01-03,09:02:57
278,George Town,5.4112,100.3354,30.96,70,20,4.63,MY,2024-01-03,09:02:52
279,Balakovo,52.0278,47.8007,-1.68,97,100,4.39,RU,2024-01-03,09:06:06
280,Nema,57.5067,50.5011,-19.62,90,33,5.09,RU,2024-01-03,09:06:06
281,Karachi,24.9056,67.0822,24.9,36,6,2.06,PK,2024-01-03,09:00:15
282,Saldanha,-33.0117,17.9442,23.35,62,3,3.82,ZA,2024-01-03,09:02:56
283,Lincoln City,44.9582,-124.0179,10.08,90,52,1.34,US,2024-01-03,09:06:07
284,Porto Velho,-8.7619,-63.9039,25.03,94,75,1.54,BR,2024-01-03,09:06:07
285,Mcalester,34.9334,-95.7697,1.05,86,40,1.54,US,2024-01-03,09:06:08
286,Mil'Kovo,55.6078,37.7956,-20.32,84,87,3.7,RU,2024-01-03,09:06:08
287,Usogorsk,63.4106,48.6872,-33.52,99,64,1.07,RU,2024-01-03,09:06:08
288,Mili,6.0815,171.735,28.09,82,85,8.92,MH,2024-01-03,09:06:09
